,allele,gene,function
1,TRBV10-1*01,TRBV10-1,F
2,TRBV10-1*02,TRBV10-1,F
4,TRBV10-2*01,TRBV10-2,F
5,TRBV10-3*01,TRBV10-3,F
6,TRBV10-3*02,TRBV10-3,F
7,TRBV11-1*01,TRBV11-1,F
8,TRBV11-2*01,TRBV11-2,F
10,TRBV11-2*03,TRBV11-2,(F)
11,TRBV11-3*01,TRBV11-3,F
14,TRBV12-3*01,TRBV12-3,F
15,TRBV12-4*01,TRBV12-4,F
16,TRBV12-4*02,TRBV12-4,(F)
17,TRBV12-5*01,TRBV12-5,F
18,TRBV13*01,TRBV13,F
19,TRBV14*01,TRBV14,F
20,TRBV15*01,TRBV15,F
21,TRBV15*02,TRBV15,(F)
23,TRBV16*01,TRBV16,F
25,TRBV18*01,TRBV18,F
26,TRBV19*01,TRBV19,F
27,TRBV2*01,TRBV2,F
28,TRBV2*03,TRBV2,(F)
29,TRBV20-1*01,TRBV20-1,F
31,TRBV24-1*01,TRBV24-1,F
32,TRBV25-1*01,TRBV25-1,F
34,TRBV27*01,TRBV27,F
35,TRBV28*01,TRBV28,F
36,TRBV29-1*01,TRBV29-1,F
37,TRBV29-1*02,TRBV29-1,(F)
38,TRBV3-1*01,TRBV3-1,F
39,TRBV3-1*02,TRBV3-1,(F)
42,TRBV30*01,TRBV30,F
43,TRBV30*02,TRBV30,F
44,TRBV30*04,TRBV30,(F)
45,TRBV4-1*01,TRBV4-1,F
46,TRBV4-2*01,TRBV4-2,F
47,TRBV4-3*01,TRBV4-3,F
49,TRBV5-1*01,TRBV5-1,F
52,TRBV5-4*01,TRBV5-4,F
53,TRBV5-4*02,TRBV5-4,(F)
54,TRBV5-5*01,TRBV5-5,F
55,TRBV5-6*01,TRBV5-6,F
57,TRBV5-8*01,TRBV5-8,F
58,TRBV6-1*01,TRBV6-1,F
59,TRBV6-2*01,TRBV6-2,F
60,TRBV6-3*01,TRBV6-3,F
61,TRBV6-4*01,TRBV6-4,F
62,TRBV6-5*01,TRBV6-5,F
63,TRBV6-6*01,TRBV6-6,F
64,TRBV6-6*02,TRBV6-6,F
66,TRBV6-8*01,TRBV6-8,F
67,TRBV6-9*01,TRBV6-9,F
69,TRBV7-2*01,TRBV7-2,F
70,TRBV7-2*02,TRBV7-2,F
73,TRBV7-3*01,TRBV7-3,F
77,TRBV7-4*01,TRBV7-4,F
78,TRBV7-6*01,TRBV7-6,F
79,TRBV7-7*01,TRBV7-7,F
80,TRBV7-7*03,TRBV7-7,(F)
81,TRBV7-8*01,TRBV7-8,F
82,TRBV7-8*02,TRBV7-8,F
83,TRBV7-9*01,TRBV7-9,F
84,TRBV7-9*04,TRBV7-9,(F)
85,TRBV7-9*05,TRBV7-9,(F)
86,TRBV7-9*06,TRBV7-9,(F)
87,TRBV7-9*07,TRBV7-9,(F)
88,TRBV9*01,TRBV9,F
